Symbol,Timestamp,RecommendationMean,RecommendationKey,NumberOfAnalystOpinions,TargetHighPrice,TargetLowPrice,TargetMeanPrice,TargetMedianPrice,CurrentPrice,Source
AAPL,2025-06-09 11:54:37.609274,2.1087,buy,40,300.0,170.62,228.85326,232.5,203.92,yahoo
MSFT,2025-06-09 11:54:39.381653,1.43333,strong_buy,50,650.0,429.86,511.0414,502.5,470.38,yahoo
GOOGL,2025-06-09 11:54:42.406241,1.58824,buy,52,250.0,160.0,201.4652,200.0,173.68,yahoo
AMZN,2025-06-09 11:54:45.786646,1.38571,strong_buy,65,305.0,195.0,239.21861,240.0,213.57,yahoo
TSLA,2025-06-09 11:54:47.427032,2.5625,hold,42,500.0,115.0,299.14142,301.5,295.14,yahoo
META,2025-06-09 11:54:49.226760,1.47826,strong_buy,63,935.0,466.0,712.8754,700.0,697.71,yahoo
NVDA,2025-06-09 11:54:50.892160,1.4375,strong_buy,55,220.0,100.0,172.02219,175.0,141.72,yahoo
NFLX,2025-06-09 11:54:52.725769,1.86,buy,45,1514.0,720.0,1147.6194,1160.0,1241.475,yahoo
ADBE,2025-06-09 11:54:54.401010,1.87179,buy,34,630.0,380.0,488.02148,477.5,416.92,yahoo
CRM,2025-06-09 11:54:56.068380,1.70175,buy,51,440.0,225.0,352.53177,360.0,274.51,yahoo
