2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
,,,,,0.0,0.0
14939315000.0,15037874000.0,15116786000.0,15222259000.0,15337686000.0,,
14939315000.0,15037874000.0,15116786000.0,15222259000.0,15337686000.0,,
70024000000.0,66500000000.0,76686000000.0,75739000000.0,71895000000.0,,
98186000000.0,96799000000.0,106629000000.0,101304000000.0,104590000000.0,,
66796000000.0,66758000000.0,56950000000.0,66708000000.0,74194000000.0,,
164982000000.0,163557000000.0,163579000000.0,168012000000.0,178784000000.0,,
-25897000000.0,-11125000000.0,-23405000000.0,-6189000000.0,4594000000.0,,
66796000000.0,66758000000.0,56950000000.0,66708000000.0,74194000000.0,,
,,,,,,12842000000.0
66796000000.0,66758000000.0,56950000000.0,66708000000.0,74194000000.0,,
145362000000.0,150714000000.0,142700000000.0,152904000000.0,166025000000.0,,
66796000000.0,66758000000.0,56950000000.0,66708000000.0,74194000000.0,,
66796000000.0,66758000000.0,56950000000.0,66708000000.0,74194000000.0,,
-6363000000.0,-6789000000.0,-7172000000.0,-8416000000.0,-8960000000.0,,
-6363000000.0,-6789000000.0,-7172000000.0,-8416000000.0,-8960000000.0,,
-15552000000.0,-11221000000.0,-19154000000.0,-4726000000.0,4339000000.0,,
88711000000.0,84768000000.0,83276000000.0,79850000000.0,78815000000.0,,
88711000000.0,84768000000.0,83276000000.0,79850000000.0,78815000000.0,,
264437000000.0,277327000000.0,308030000000.0,264904000000.0,263217000000.0,,
119866000000.0,132962000000.0,131638000000.0,133280000000.0,139395000000.0,,
41300000000.0,49006000000.0,36634000000.0,47084000000.0,47564000000.0,,
,,9254000000.0,,,,15457000000.0
78566000000.0,83956000000.0,85750000000.0,86196000000.0,91831000000.0,,
,,,,,,11267000000.0
78566000000.0,83956000000.0,85750000000.0,86196000000.0,91831000000.0,,
144571000000.0,144365000000.0,176392000000.0,131624000000.0,123822000000.0,,
61849000000.0,61151000000.0,51703000000.0,60889000000.0,57298000000.0,,
8976000000.0,8461000000.0,8249000000.0,8053000000.0,8012000000.0,,
8976000000.0,8461000000.0,8249000000.0,8053000000.0,8012000000.0,,
19620000000.0,12843000000.0,20879000000.0,15108000000.0,12759000000.0,,
,,,,,,1575000000.0
19620000000.0,12843000000.0,20879000000.0,15108000000.0,12759000000.0,,
13638000000.0,10848000000.0,10912000000.0,12114000000.0,10762000000.0,,
5982000000.0,1995000000.0,9967000000.0,2994000000.0,1997000000.0,,
54126000000.0,61910000000.0,95561000000.0,47574000000.0,45753000000.0,,
54126000000.0,61910000000.0,95561000000.0,47574000000.0,45753000000.0,,
,,26601000000.0,,,,8819000000.0
,,26601000000.0,,,,8819000000.0
54126000000.0,61910000000.0,68960000000.0,47574000000.0,45753000000.0,,
331233000000.0,344085000000.0,364980000000.0,331612000000.0,337411000000.0,,
212559000000.0,210845000000.0,211993000000.0,206177000000.0,208995000000.0,,
81259000000.0,77183000000.0,55335000000.0,70435000000.0,70262000000.0,,
,,19499000000.0,,,,17852000000.0
,,19499000000.0,,,,17852000000.0
84424000000.0,87593000000.0,91479000000.0,91240000000.0,95187000000.0,,
84424000000.0,87593000000.0,91479000000.0,91240000000.0,95187000000.0,,
84424000000.0,87593000000.0,91479000000.0,91240000000.0,95187000000.0,,
46876000000.0,46069000000.0,45680000000.0,44502000000.0,43546000000.0,,
-74303000000.0,-74546000000.0,-73448000000.0,-72627000000.0,-71697000000.0,,
121179000000.0,120615000000.0,119128000000.0,117129000000.0,115243000000.0,,
,,14233000000.0,,,,12839000000.0
,,,,,,10661000000.0
,,80205000000.0,,,,78314000000.0
,,24690000000.0,,,,23446000000.0
,,0.0,,,,0.0
118674000000.0,133240000000.0,152987000000.0,125435000000.0,128416000000.0,,
14109000000.0,13248000000.0,14287000000.0,14297000000.0,13884000000.0,,
6269000000.0,6911000000.0,7286000000.0,6165000000.0,6232000000.0,,
3596000000.0,4119000000.0,,,,,
2673000000.0,2792000000.0,,,,,
49798000000.0,59306000000.0,66243000000.0,43172000000.0,41150000000.0,,
23662000000.0,29667000000.0,32833000000.0,20377000000.0,19313000000.0,,
26136000000.0,29639000000.0,33410000000.0,22795000000.0,21837000000.0,,
48498000000.0,53775000000.0,65171000000.0,61801000000.0,67150000000.0,,
20336000000.0,23476000000.0,35228000000.0,36236000000.0,34455000000.0,,
28162000000.0,30299000000.0,29943000000.0,25565000000.0,32695000000.0,,
3101000000.0,3226000000.0,2744000000.0,2699000000.0,4468000000.0,,
25061000000.0,27073000000.0,27199000000.0,22866000000.0,28227000000.0,,
