2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
20881000000.0,26995000000.0,23903000000.0,26707000000.0,20694000000.0,,
-25898000000.0,-23606000000.0,-25083000000.0,-26522000000.0,-23205000000.0,,
976000000.0,-8953000000.0,427000000.0,-3253000000.0,-3148000000.0,,
,,0.0,,,,0.0
-3071000000.0,-2940000000.0,-2908000000.0,-2151000000.0,-1996000000.0,,
,,,,,,1213000000.0
13032000000.0,18651000000.0,6872000000.0,4699000000.0,7276000000.0,,
28162000000.0,30299000000.0,29943000000.0,26635000000.0,33921000000.0,,
30299000000.0,29943000000.0,26635000000.0,33921000000.0,41974000000.0,,
-2137000000.0,356000000.0,3308000000.0,-7286000000.0,-8053000000.0,,
-29006000000.0,-39371000000.0,-24948000000.0,-36017000000.0,-30433000000.0,,
-29006000000.0,-39371000000.0,-24948000000.0,-36017000000.0,-30433000000.0,,
-326000000.0,-2956000000.0,-448000000.0,-2347000000.0,-370000000.0,,
-3758000000.0,-3856000000.0,-3804000000.0,-3895000000.0,-3710000000.0,,
-3758000000.0,-3856000000.0,-3804000000.0,-3895000000.0,-3710000000.0,,
-25898000000.0,-23606000000.0,-25083000000.0,-26522000000.0,-23205000000.0,,
-25898000000.0,-23606000000.0,-25083000000.0,-26522000000.0,-23205000000.0,,
976000000.0,-8953000000.0,4387000000.0,-3253000000.0,-3148000000.0,,
3976000000.0,-7944000000.0,6945000000.0,997000000.0,2000000.0,,
3976000000.0,-7944000000.0,,997000000.0,2000000.0,-3984000000.0,
-3000000000.0,-1009000000.0,-2558000000.0,-4250000000.0,-3150000000.0,,
-3000000000.0,-1009000000.0,-2558000000.0,-4250000000.0,-3150000000.0,,
,,0.0,,,,0.0
2917000000.0,9792000000.0,1445000000.0,-127000000.0,-310000000.0,,
2917000000.0,9792000000.0,1445000000.0,-127000000.0,-310000000.0,,
-32000000.0,-603000000.0,-191000000.0,-388000000.0,-445000000.0,,
6020000000.0,13335000000.0,4544000000.0,2412000000.0,2131000000.0,,
12338000000.0,19459000000.0,15126000000.0,15444000000.0,17393000000.0,,
-6318000000.0,-6124000000.0,-10582000000.0,-13032000000.0,-15262000000.0,,
-3071000000.0,-2940000000.0,-2908000000.0,-2151000000.0,-1996000000.0,,
-3071000000.0,-2940000000.0,-2908000000.0,-2151000000.0,-1996000000.0,,
23952000000.0,29935000000.0,26811000000.0,28858000000.0,22690000000.0,,
23952000000.0,29935000000.0,26811000000.0,28858000000.0,22690000000.0,,
-6507000000.0,-10752000000.0,6608000000.0,1684000000.0,-5764000000.0,,
-3581000000.0,-11998000000.0,15550000000.0,3439000000.0,428000000.0,,
-5310000000.0,939000000.0,-6105000000.0,-1188000000.0,-2981000000.0,,
-7933000000.0,-6671000000.0,21191000000.0,1539000000.0,-12168000000.0,,
-7933000000.0,-6671000000.0,21191000000.0,1539000000.0,-12168000000.0,,
-7933000000.0,-6671000000.0,21191000000.0,1539000000.0,-12168000000.0,,
643000000.0,215000000.0,-1087000000.0,-12000000.0,190000000.0,,
9674000000.0,6763000000.0,-22941000000.0,-2094000000.0,8767000000.0,,
3669000000.0,3597000000.0,-10485000000.0,-1030000000.0,1172000000.0,,
-208000000.0,-2009000000.0,-302000000.0,7000000.0,-982000000.0,,
3226000000.0,3286000000.0,2858000000.0,2869000000.0,2964000000.0,,
2661000000.0,3080000000.0,2911000000.0,2850000000.0,2836000000.0,,
2661000000.0,3080000000.0,2911000000.0,2850000000.0,2836000000.0,,
24780000000.0,36330000000.0,14736000000.0,21448000000.0,23636000000.0,,
