2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-09-30
0.0,0.0,0.0,0.0,0.0,
0.155,0.147,0.21,0.159,0.158,
32250000000.0,45912000000.0,32502000000.0,28202000000.0,30736000000.0,
24780000000.0,36330000000.0,14736000000.0,21448000000.0,23636000000.0,
2661000000.0,3080000000.0,2911000000.0,2850000000.0,2836000000.0,
50492000000.0,66025000000.0,51051000000.0,46099000000.0,48482000000.0,
32250000000.0,45912000000.0,32502000000.0,28202000000.0,30736000000.0,
29589000000.0,42832000000.0,29591000000.0,25352000000.0,27900000000.0,
,,,,,-18000000.0
,,,,,1002000000.0
,,,,,984000000.0
24780000000.0,36330000000.0,14736000000.0,21448000000.0,23636000000.0,
24780000000.0,36330000000.0,14736000000.0,21448000000.0,23636000000.0,
65770000000.0,81468000000.0,65339000000.0,60425000000.0,62853000000.0,
29589000000.0,42832000000.0,29591000000.0,25352000000.0,27900000000.0,
15056133000.0,15150865000.0,15242853000.0,15348175000.0,15464709000.0,
14994082000.0,15081724000.0,15171990000.0,15287521000.0,15405856000.0,
1.65,2.4,0.97,1.4,1.53,
1.65,2.41,0.97,1.4,1.53,
24780000000.0,36330000000.0,14736000000.0,21448000000.0,23636000000.0,
24780000000.0,36330000000.0,14736000000.0,21448000000.0,23636000000.0,
24780000000.0,36330000000.0,14736000000.0,21448000000.0,23636000000.0,
24780000000.0,36330000000.0,14736000000.0,21448000000.0,23636000000.0,
24780000000.0,36330000000.0,14736000000.0,21448000000.0,23636000000.0,
4530000000.0,6254000000.0,14874000000.0,4046000000.0,4422000000.0,
29310000000.0,42584000000.0,29610000000.0,25494000000.0,28058000000.0,
-279000000.0,-248000000.0,19000000.0,142000000.0,158000000.0,
-279000000.0,-248000000.0,19000000.0,142000000.0,158000000.0,
,,,,,-18000000.0
,,,,,1002000000.0
,,,,,984000000.0
29589000000.0,42832000000.0,29591000000.0,25352000000.0,27900000000.0,
15278000000.0,15443000000.0,14288000000.0,14326000000.0,14371000000.0,
8550000000.0,8268000000.0,7765000000.0,8006000000.0,7903000000.0,
6728000000.0,7175000000.0,6523000000.0,6320000000.0,6468000000.0,
44867000000.0,58275000000.0,43879000000.0,39678000000.0,42271000000.0,
50492000000.0,66025000000.0,51051000000.0,46099000000.0,48482000000.0,
95359000000.0,124300000000.0,94930000000.0,85777000000.0,90753000000.0,
95359000000.0,124300000000.0,94930000000.0,85777000000.0,90753000000.0,
