2024-06-30,2023-06-30,2022-06-30,2021-06-30
-99918000.0,-2850000.0,43754000.0,180160797.164637
0.182,0.19,0.131,0.138266
133558000000.0,105155000000.0,99905000000.0,83831000000.0
-549000000.0,-15000000.0,334000000.0,1303000000.0
-549000000.0,-15000000.0,334000000.0,1303000000.0
88136000000.0,72361000000.0,72738000000.0,61271000000.0
22287000000.0,13861000000.0,14460000000.0,11686000000.0
74114000000.0,65863000000.0,62650000000.0,52232000000.0
133009000000.0,105140000000.0,100239000000.0,85134000000.0
110722000000.0,91279000000.0,85779000000.0,73448000000.0
222000000.0,1026000000.0,31000000.0,-215000000.0
2935000000.0,1968000000.0,2063000000.0,2346000000.0
3157000000.0,2994000000.0,2094000000.0,2131000000.0
88585082000.0,72373150000.0,72447754000.0,60148160797.164635
88136000000.0,72361000000.0,72738000000.0,61271000000.0
135689000000.0,123392000000.0,114887000000.0,98172000000.0
109433000000.0,88523000000.0,83383000000.0,69916000000.0
7469000000.0,7472000000.0,7540000000.0,7608000000.0
7431000000.0,7446000000.0,7496000000.0,7547000000.0
11.8,9.68,9.65,8.05
11.86,9.72,9.7,8.12
88136000000.0,72361000000.0,72738000000.0,61271000000.0
88136000000.0,72361000000.0,72738000000.0,61271000000.0
88136000000.0,72361000000.0,72738000000.0,61271000000.0
88136000000.0,72361000000.0,72738000000.0,61271000000.0
88136000000.0,72361000000.0,72738000000.0,61271000000.0
19651000000.0,16950000000.0,10978000000.0,9831000000.0
107787000000.0,89311000000.0,83716000000.0,71102000000.0
-1868000000.0,-238000000.0,302000000.0,1401000000.0
-1319000000.0,-223000000.0,-32000000.0,98000000.0
-206000000.0,-30000000.0,-101000000.0,-13000000.0
206000000.0,30000000.0,101000000.0,13000000.0
-343000000.0,15000000.0,435000000.0,1316000000.0
222000000.0,1026000000.0,31000000.0,-215000000.0
2935000000.0,1968000000.0,2063000000.0,2346000000.0
3157000000.0,2994000000.0,2094000000.0,2131000000.0
109433000000.0,88523000000.0,83383000000.0,69916000000.0
61575000000.0,57529000000.0,52237000000.0,45940000000.0
29510000000.0,27195000000.0,24512000000.0,20716000000.0
32065000000.0,30334000000.0,27725000000.0,25224000000.0
24456000000.0,22759000000.0,21825000000.0,20117000000.0
7609000000.0,7575000000.0,5900000000.0,5107000000.0
7609000000.0,7575000000.0,5900000000.0,5107000000.0
171008000000.0,146052000000.0,135620000000.0,115856000000.0
74114000000.0,65863000000.0,62650000000.0,52232000000.0
245122000000.0,211915000000.0,198270000000.0,168088000000.0
245122000000.0,211915000000.0,198270000000.0,168088000000.0
