2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
7433982235.0,7435256940.0,7436000000.0,7434138859.0,7432305794.0
7433982235.0,7435256940.0,7436000000.0,7434138859.0,7432305794.0
14053000000.0,27488000000.0,24277000000.0,33315000000.0,45808000000.0
60567000000.0,62224000000.0,61478000000.0,67127000000.0,79911000000.0
178594000000.0,158119000000.0,141598000000.0,121660000000.0,105161000000.0
364772000000.0,347665000000.0,332840000000.0,320107000000.0,318594000000.0
42438000000.0,38198000000.0,34726000000.0,34448000000.0,28655000000.0
178594000000.0,158119000000.0,141598000000.0,121660000000.0,105161000000.0
17686000000.0,17254000000.0,16361000000.0,15497000000.0,14469000000.0
321891000000.0,302695000000.0,287723000000.0,268477000000.0,253152000000.0
361773000000.0,342417000000.0,330591000000.0,311165000000.0,295810000000.0
321891000000.0,302695000000.0,287723000000.0,268477000000.0,253152000000.0
321891000000.0,302695000000.0,287723000000.0,268477000000.0,253152000000.0
-4833000000.0,-5616000000.0,-4182000000.0,-5590000000.0,-5435000000.0
-4833000000.0,-5616000000.0,-4182000000.0,-5590000000.0,-5435000000.0
219759000000.0,203482000000.0,188929000000.0,173144000000.0,159394000000.0
106965000000.0,104829000000.0,102976000000.0,100923000000.0,99193000000.0
106965000000.0,104829000000.0,102976000000.0,100923000000.0,99193000000.0
240733000000.0,231203000000.0,235290000000.0,243686000000.0,231123000000.0
126527000000.0,122321000000.0,120090000000.0,118400000000.0,112598000000.0
38536000000.0,35906000000.0,31165000000.0,27064000000.0,23271000000.0
25061000000.0,24389000000.0,24452000000.0,27931000000.0,26786000000.0
5362000000.0,5050000000.0,5244000000.0,5220000000.0,5414000000.0
2840000000.0,2537000000.0,2663000000.0,2602000000.0,2945000000.0
2522000000.0,2513000000.0,2581000000.0,2618000000.0,2469000000.0
57568000000.0,56976000000.0,59229000000.0,58185000000.0,57127000000.0
17686000000.0,17254000000.0,16361000000.0,15497000000.0,14469000000.0
39882000000.0,39722000000.0,42868000000.0,42688000000.0,42658000000.0
114206000000.0,108882000000.0,115200000000.0,125286000000.0,118525000000.0
22937000000.0,20286000000.0,19114000000.0,19185000000.0,18023000000.0
44636000000.0,45508000000.0,53026000000.0,57582000000.0,41888000000.0
44636000000.0,45508000000.0,53026000000.0,57582000000.0,41888000000.0
2999000000.0,5248000000.0,2249000000.0,8942000000.0,22784000000.0
2999000000.0,5248000000.0,2249000000.0,8942000000.0,22784000000.0
2999000000.0,5248000000.0,2249000000.0,2249000000.0,2249000000.0
0.0,0.0,0.0,6693000000.0,20535000000.0
10579000000.0,9176000000.0,8326000000.0,12564000000.0,10432000000.0
33055000000.0,28664000000.0,32485000000.0,27013000000.0,25398000000.0
33055000000.0,28664000000.0,32485000000.0,27013000000.0,25398000000.0
6805000000.0,6056000000.0,9717000000.0,5017000000.0,7311000000.0
6805000000.0,6056000000.0,9717000000.0,5017000000.0,7311000000.0
26250000000.0,22608000000.0,22768000000.0,21996000000.0,18087000000.0
562624000000.0,533898000000.0,523013000000.0,512163000000.0,484275000000.0
405980000000.0,386818000000.0,373087000000.0,352429000000.0,337095000000.0
38234000000.0,36943000000.0,37793000000.0,36460000000.0,35551000000.0
273000000.0,0.0,0.0,0.0,0.0
15762000000.0,15581000000.0,15778000000.0,14600000000.0,14807000000.0
2275000000.0,2277000000.0,1500000000.0,1500000000.0,1500000000.0
2275000000.0,2277000000.0,1500000000.0,1500000000.0,1500000000.0
13487000000.0,13304000000.0,14278000000.0,13100000000.0,13307000000.0
143297000000.0,144576000000.0,146125000000.0,146817000000.0,147991000000.0
23968000000.0,25385000000.0,26751000000.0,27597000000.0,28828000000.0
119329000000.0,119191000000.0,119374000000.0,119220000000.0,119163000000.0
208414000000.0,189718000000.0,173391000000.0,154552000000.0,138746000000.0
-87074000000.0,-82820000000.0,-80517000000.0,-76421000000.0,-74945000000.0
295488000000.0,272538000000.0,253908000000.0,230973000000.0,213691000000.0
,,,9594000000.0,
295488000000.0,272538000000.0,253908000000.0,18961000000.0,213691000000.0
,,,100312000000.0,
,,,93943000000.0,
,,,8163000000.0,
,,,0.0,
156644000000.0,147080000000.0,149926000000.0,159734000000.0,147180000000.0
24478000000.0,26428000000.0,25724000000.0,26021000000.0,21826000000.0
6000000.0,4000000.0,-1000000.0,12000000.0,8000000.0
848000000.0,909000000.0,1626000000.0,1246000000.0,1304000000.0
508000000.0,557000000.0,1127000000.0,845000000.0,951000000.0
13000000.0,7000000.0,11000000.0,7000000.0,12000000.0
327000000.0,345000000.0,488000000.0,394000000.0,341000000.0
51700000000.0,48188000000.0,44148000000.0,56924000000.0,44029000000.0
51700000000.0,48188000000.0,44148000000.0,56924000000.0,44029000000.0
-695000000.0,-662000000.0,-647000000.0,-830000000.0,-616000000.0
52395000000.0,48850000000.0,44795000000.0,57754000000.0,44645000000.0
79612000000.0,71551000000.0,78429000000.0,75531000000.0,80013000000.0
50784000000.0,54069000000.0,57589000000.0,57216000000.0,60379000000.0
28828000000.0,17482000000.0,20840000000.0,18315000000.0,19634000000.0
18148000000.0,7835000000.0,10252000000.0,6744000000.0,8053000000.0
10680000000.0,9647000000.0,10588000000.0,11571000000.0,11581000000.0
