Symbol,Timestamp,MarketCap,PERatio,ForwardPE,PEGRatio,PriceToBook,PriceToSales,ROE,ROA,ROI,DebtToEquity,CurrentRatio,QuickRatio,GrossMargins,OperatingMargins,ProfitMargins,RevenueGrowth,EarningsGrowth,Beta,DividendYield,PayoutRatio,RecommendationMean,TargetHighPrice,TargetLowPrice,TargetMeanPrice,BookValue,EnterpriseValue,EnterpriseToRevenue,EnterpriseToEbitda,TotalCash,TotalDebt,TotalRevenue,RevenuePerShare,Source
AAPL,2025-06-09 11:39:47.160373,3045708267520,31.763239,24.539108,,45.60948,7.60731,1.38015,0.23809999,,146.994,0.821,0.68,0.46632,0.31028998,0.24301,0.051,0.078,1.211,0.51,0.1558,2.1087,300.0,170.62,228.85326,4.471,3095401594880,7.731,22.291,48497999872,98186002432,400366010368,26.455,yahoo
MSFT,2025-06-09 11:39:49.180493,3496118321152,36.350853,31.463547,,10.863279,12.948107,0.3361,0.14581999,,32.626,1.372,1.244,0.69074994,0.45671,0.35789,0.133,0.177,1.026,0.71,0.2442,1.43333,650.0,429.86,511.0414,43.3,3521520861184,13.042,23.607,79617998848,105018998784,270010007552,36.325,yahoo
GOOGL,2025-06-09 11:39:51.473680,2114328199168,19.383928,19.383928,,6.114416,5.8778195,0.34789002,0.16896999,,8.254,1.768,1.597,0.58591,0.33918,0.30857,0.12,0.488,1.014,0.48,0.08930001,1.58824,250.0,160.0,201.4652,28.405,2040776753152,5.673,15.038,95328002048,28497999872,359713013760,29.338,yahoo
AMZN,2025-06-09 11:39:55.146099,2267344535552,34.84013,34.72683,,7.410479,3.4865434,0.2524,0.07632,,51.641,1.048,0.807,0.49158,0.11823,0.1014,0.086,0.622,1.334,,0.0,1.38571,305.0,195.0,239.21861,28.82,2330722304000,3.584,18.477,94564999168,157952999424,650313007104,61.785,yahoo
TSLA,2025-06-09 11:39:57.633967,950634151936,169.6207,91.0926,,12.730331,9.93099,0.087740004,0.03724,,17.407,1.996,1.376,0.17662,0.0255,0.063829996,-0.092,-0.707,2.461,,0.0,2.5625,500.0,115.0,299.14142,23.184,927530024960,9.69,73.907,36996001792,13127999488,95724003328,29.867,yahoo
META,2025-06-09 11:39:59.941519,1754273284096,27.243654,27.577473,,9.513752,10.297448,0.39835,0.17879999,,26.763,2.662,2.501,0.81767,0.41487,0.39113998,0.161,0.365,1.266,0.3,0.0792,1.47826,935.0,466.0,712.8754,73.337,1733560238080,10.176,19.704,70229999616,49519001600,170359996416,67.349,yahoo
NVDA,2025-06-09 11:40:02.401378,3456210829312,45.71613,34.39806,,41.22164,23.271797,1.15463,0.53244996,,12.267,3.388,2.857,0.70107,0.49108002,0.51694,0.692,0.267,2.122,0.03,0.0128999995,1.4375,220.0,100.0,172.02219,3.438,3414561914880,22.991,38.693,53690998784,10284999680,148514996224,6.059,yahoo
NFLX,2025-06-09 11:40:04.722269,528335765504,58.809803,52.206684,,21.99403,13.151407,0.40842,0.13789,,72.513,1.204,1.01,0.46919,0.31746998,0.23074,0.125,0.252,1.589,,0.0,1.86,1514.0,720.0,1147.6194,56.446,537527549952,13.38,46.93,8370990080,17423486976,40173326336,93.794,yahoo
ADBE,2025-06-09 11:40:06.618132,177691312128,27.55585,20.28808,,13.849783,8.063316,0.47284,0.17194,,50.118,1.185,1.027,0.89155,0.37854,0.30635,0.103,2.044,1.545,,0.0,1.87179,630.0,380.0,488.02148,30.103,176818307072,8.024,20.406,7436000256,6562999808,22037000192,49.762,yahoo
CRM,2025-06-09 11:40:09.611700,262431571968,42.89219,24.66397,,4.3348703,6.8003306,0.10312,0.050869998,,19.813,1.069,0.899,0.77336997,0.20124,0.16079001,0.076,0.019,1.377,0.61,0.2529,1.7069,442.0,225.0,354.25232,63.326,257043562496,6.661,22.938,17408000000,12019999744,38591000576,40.22,yahoo
