Symbol,Timestamp,Source,PERatio,ForwardPE,PEGRatio,PriceToBook,PriceToSales,ROE,ROA,ROI,DebtToEquity,CurrentRatio,QuickRatio,GrossMargins,OperatingMargins,ProfitMargins,Beta,DividendYield,PayoutRatio,EnterpriseToRevenue,EnterpriseToEbitda
AAPL,2025-06-09 11:54:15.244053,yahoo,31.763239,24.539108,,45.60948,7.60731,1.38015,0.23809999,,146.994,0.821,0.68,0.46632,0.31028998,0.24301,1.211,0.51,0.1558,7.731,22.291
MSFT,2025-06-09 11:54:18.189923,yahoo,36.350853,31.463547,,10.863279,12.948107,0.3361,0.14581999,,32.626,1.372,1.244,0.69074994,0.45671,0.35789,1.026,0.71,0.2442,13.042,23.607
GOOGL,2025-06-09 11:54:19.998428,yahoo,19.383928,19.383928,,6.114416,5.8778195,0.34789002,0.16896999,,8.254,1.768,1.597,0.58591,0.33918,0.30857,1.014,0.48,0.08930001,5.673,15.038
AMZN,2025-06-09 11:54:21.974221,yahoo,34.84013,34.72683,,7.410479,3.4865434,0.2524,0.07632,,51.641,1.048,0.807,0.49158,0.11823,0.1014,1.334,,0.0,3.584,18.477
TSLA,2025-06-09 11:54:24.491075,yahoo,169.6207,91.0926,,12.730331,9.93099,0.087740004,0.03724,,17.407,1.996,1.376,0.17662,0.0255,0.063829996,2.461,,0.0,9.69,73.907
META,2025-06-09 11:54:26.541907,yahoo,27.243654,27.577473,,9.513752,10.297448,0.39835,0.17879999,,26.763,2.662,2.501,0.81767,0.41487,0.39113998,1.266,0.3,0.0792,10.176,19.704
NVDA,2025-06-09 11:54:28.508493,yahoo,45.71613,34.39806,,41.22164,23.271797,1.15463,0.53244996,,12.267,3.388,2.857,0.70107,0.49108002,0.51694,2.122,0.03,0.0128999995,22.991,38.693
NFLX,2025-06-09 11:54:31.201220,yahoo,58.809803,52.206684,,21.99403,13.151407,0.40842,0.13789,,72.513,1.204,1.01,0.46919,0.31746998,0.23074,1.589,,0.0,13.38,46.93
ADBE,2025-06-09 11:54:33.612995,yahoo,27.55585,20.28808,,13.849783,8.063316,0.47284,0.17194,,50.118,1.185,1.027,0.89155,0.37854,0.30635,1.545,,0.0,8.024,20.406
CRM,2025-06-09 11:54:35.960035,yahoo,42.89219,24.66397,,4.3348703,6.8003306,0.10312,0.050869998,,19.813,1.069,0.899,0.77336997,0.20124,0.16079001,1.377,0.61,0.2529,6.661,22.938
